cod_uf,cod_municipio,dsc_municipio,num_cnae,dsc_setor_1,dsc_setor_2,dsc_programa,dsc_linha_financiamento,dsc_atividade,dsc_porte,dsc_finalidade,num_operacao_contratada,vlr_contrato,dsc_fonte,num_ano,Tipologia_do_Municipio,Semiarido
GO,5208707,GOIANIA,Comércio varejista de materiais de construção não especificados anteriormente,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno-Médio,Capital de Giro Isolado,1,600000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,60000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,130000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Médio I,Capital de Giro Isolado,1,400000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Empresarial,Comércio e Serviços,-,Comércio e Serviços,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Pequeno,Capital de Giro Isolado,1,151000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Construção de edifícios,Empresarial,Industrial,-,Desenvolvimento Industrial,CONSTRUÇÃO DE EDIFÍCIOS,Médio I,Capital de Giro Isolado,1,499000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de artefatos têxteis para uso doméstico,Empresarial,Industrial,-,Desenvolvimento Industrial,FABRICAÇÃO DE PRODUTOS TÊXTEIS,Pequeno-Médio,Capital de Giro Isolado,1,350000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de embalagens de material plástico,Empresarial,Comércio e Serviços,-,Comércio e Serviços,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,Pequeno-Médio,Capital de Giro Isolado,1,250000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de embalagens de material plástico,Empresarial,Industrial,-,Desenvolvimento Industrial,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,Pequeno-Médio,Capital de Giro Isolado,1,499000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",Empresarial,Comércio e Serviços,-,Comércio e Serviços,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,Pequeno,Capital de Giro Isolado,1,120000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fundição de metais não ferrosos e suas ligas,Empresarial,Comércio e Serviços,-,Comércio e Serviços,METALURGIA,Médio I,Capital de Giro Isolado,1,250000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Laboratórios clínicos,Empresarial,Comércio e Serviços,-,Comércio e Serviços,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,Pequeno,Capital de Giro Isolado,1,150000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Limpeza em prédios e em domicílios,Empresarial,Comércio e Serviços,-,Comércio e Serviços,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,Médio I,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Manutenção e reparação de geradores, transformadores e motores elétricos",Empresarial,Comércio e Serviços,-,Comércio e Serviços,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",Pequeno,Capital de Giro Isolado,1,216500,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Montagem e desmontagem de andaimes e outras estruturas temporárias,Empresarial,Industrial,-,Desenvolvimento Industrial,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,Pequeno-Médio,Capital de Giro Isolado,1,499500,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Serviços advocatícios,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",Pequeno,Capital de Giro Isolado,1,90000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Serviços de manutenção e reparação mecânica de veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno-Médio,Capital de Giro Isolado,1,250000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",Empresarial,Comércio e Serviços,-,Comércio e Serviços,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,Pequeno-Médio,Capital de Giro Isolado,1,1600000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio por atacado de peças e acessórios novos para veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Médio I,Custeio isolado/ Comercialização,1,96450.9,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de materiais de construção em geral,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno-Médio,Capital de Giro Isolado,2,1000000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de outros produtos não especificados anteriormente,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Custeio isolado/ Comercialização,1,65832,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio atacadista de artigos de cama, mesa e banho",Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno-Médio,Capital de Giro Isolado,1,1000000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de ferragens e ferramentas,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno,Capital de Giro Isolado,1,490000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno-Médio,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio por atacado de peças e acessórios novos para veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de artigos de iluminação,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,220000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de artigos de joalheria,Empresarial,Industrial,-,Desenvolvimento Industrial,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,170000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,600000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio varejista de suvenires, bijuterias e artesanatos",Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Custeio isolado/ Comercialização,1,44991,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Empresarial,Industrial,-,Desenvolvimento Industrial,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,Pequeno,Capital de Giro Isolado,1,250000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Educação infantil - pré-escola,Empresarial,Comércio e Serviços,-,Comércio e Serviços,EDUCAÇÃO,Pequeno,Capital de Giro Isolado,1,370000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de estruturas metálicas,Empresarial,Industrial,-,Desenvolvimento Industrial,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS
E EQUIPAMENTOS",Pequeno,Capital de Giro Isolado,1,211000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Empresarial,Comércio e Serviços,-,Comércio e Serviços,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Pequeno-Médio,Custeio isolado/ Comercialização,1,95850,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Empresarial,Comércio e Serviços,-,Comércio e Serviços,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,Pequeno-Médio,Capital de Giro Isolado,1,289000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fabricação de produtos químicos orgânicos não especificados anteriormente,Empresarial,Industrial,-,Desenvolvimento Industrial,FABRICAÇÃO DE PRODUTOS QUÍMICOS,Pequeno,Investimento,1,55791.82,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Fotocópias,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS
EMPRESAS",Pequeno,Custeio isolado/ Comercialização,1,130000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Locação de mão de obra temporária,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO DE OBRA",Pequeno-Médio,Capital de Giro Isolado,1,560000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",Empresarial,Comércio e Serviços,-,Comércio e Serviços,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,Pequeno-Médio,Custeio isolado/ Comercialização,1,314500,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Serviços de manutenção e reparação mecânica de veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno,Capital de Giro Isolado,1,500000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de materiais de construção em geral,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno,Custeio isolado/ Comercialização,1,474500,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de medicamentos e drogas de uso humano,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno-Médio,Custeio isolado/ Comercialização,1,139000,FCO,2024,Alta Renda e Médio Dinamismo,não
