Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
RS-D-4321857-14110-19910125,Três Palmeiras,RS,Sul,01/25/1991,01/25/1991,14110,4,Estiagem e Seca,Climatológico,4321857,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4317707-14110-19910128,Santo Antônio das Missões,RS,Sul,01/28/1991,01/28/1991,14110,4,Estiagem e Seca,Climatológico,4317707,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4312302-14110-19910129,Miraguaí,RS,Sul,01/29/1991,01/29/1991,14110,4,Estiagem e Seca,Climatológico,4312302,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-R-4216909-13215-19910130,São Lourenço do Oeste,SC,Sul,01/30/1991,01/30/1991,13215,12,Vendavais e Ciclones,Meteorológico,4216909,,Registro,,0,0,0,0,500,0,0,500,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RJ-P-3305802-12200-19910130,Teresópolis,RJ,Sudeste,01/30/1991,01/30/1991,12200,2,Enxurradas,Hidrológico,3305802,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4300455-14110-19910206,Alegria,RS,Sul,02/06/1991,02/06/1991,14110,4,Estiagem e Seca,Climatológico,4300455,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4310702-14110-19910208,Itatiba do Sul,RS,Sul,02/08/1991,02/08/1991,14110,4,Estiagem e Seca,Climatológico,4310702,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4322202-14110-19910208,Tupanciretã,RS,Sul,02/08/1991,02/08/1991,14110,4,Estiagem e Seca,Climatológico,4322202,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ES-P-3201209-12100-19910214,Cachoeiro de Itapemirim,ES,Sudeste,02/14/1991,02/14/1991,12100,7,Inundações,Hidrológico,3201209,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4301206-14120-19910215,Arroio do Tigre,RS,Sul,02/15/1991,02/15/1991,14120,4,Estiagem e Seca,Climatológico,4301206,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4318101-14110-19910215,São Francisco de Assis,RS,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4318101,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
RS-D-4320107-14110-19910215,Sarandi,RS,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4320107,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4207700-14110-19910215,Ipumirim,SC,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4207700,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4214201-14110-19910215,Quilombo,SC,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4214201,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-D-4217550-14110-19910215,Serra Alta,SC,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4217550,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
SC-P-4200051-14110-19910215,Abdon Batista,SC,Sul,02/15/1991,02/15/1991,14110,4,Estiagem e Seca,Climatológico,4200051,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
